Artista,Seguidores,Tipo,Fecha y Hora,KPI,Likes,Comentarios,Caption,Palabras en Caption,Número de hashtags,Hashtags
Jessi Uribe,7000000,Video,2024-08-30 18:02:51-05:00,-1.4285714285714285e-07,-1,73,"Iniciamos Eurotour 2024 ❤️🥃 estaré en países que no conozco llevando mi música 🎵 #italia🇮🇹 #holanda🇳🇱 #belgica🇧🇪 #alemania🇩🇪 #españa🇪🇸 
#wizinkcenter @aypproduccioneseuropa",21,6,"['#italia', '#holanda', '#belgica', '#alemania', '#españa', '#wizinkcenter']"
Jessi Uribe,7000000,Video,2024-08-28 19:11:24-05:00,-1.4285714285714285e-07,-1,204,Me la pidió y esa sí que me gusta #notehagofalta,10,1,['#notehagofalta']
Jessi Uribe,7000000,Carrusel,2024-08-27 10:24:48-05:00,-1.4285714285714285e-07,-1,149,Love ❤️,2,0,[]
Jessi Uribe,7000000,Video,2024-08-26 15:32:23-05:00,-1.4285714285714285e-07,-1,58,"Madrid 🇪🇸 cada vez falta menos para vernos 😍
Última etapa de venta 🎟️ @aypproduccioneseuropa 
#madrid #españa",17,2,"['#madrid', '#españa']"
Luis Alfonso,2000000,Video,2024-09-12 18:11:36-05:00,0.0174555,34911,454,Ahora si se formo el propio descriteriooo con @jhonnyrivera 🔥🔥 ya esta disponible el video oficial de doce y treinta,20,0,[]
Luis Alfonso,2000000,Video,2024-09-05 18:28:34-05:00,0.0145075,29015,292,Que se reporten pues todos los montañeros que van a conquistar una gomela 🔥 y las gomelas que les gustan los montañeros 😂 Mi gente ya esta disponible en mi canal de YouTube el video oficial de Gomela y montañero 🤠 vayan a verlo pues porque quedó una chimba,49,0,[]
Luis Alfonso,2000000,Video,2024-08-29 17:54:49-05:00,0.0212015,42403,337,¿Quien va a hacer el trend de Soltera hoy? Etiquetenme que voy a compartir a todo el mundo que lo haga 🔥🤠 a las 7pm estará disponible en todas las plataformas 🫶,32,0,[]
Luis Alfonso,2000000,Foto,2024-09-19 10:36:40-05:00,0.001325,2650,49,Ay mi gente lindaaaa! Acá este montañero sigue pa delante de la mano de Dios cumpliendo sueños 🙏🏼 el 20 de octubre nos vemos en los @latinbillboards pa que nos pongamos un poquito contentosos 🔥,35,0,[]
Luis Alfonso,2000000,Video,2024-09-11 20:15:43-05:00,0.0180335,36067,372,Casi dejo perjudicado a @jhonnyrivera durante las grabaciones del video 😂🫣 Mañana van a poder ver la chimba de video que hicimos para Doce y treinta 🤠🔥 Mañana 6pm,29,0,[]
Luis Alfonso,2000000,Foto,2024-09-11 07:23:56-05:00,0.0109665,21933,77,"Este montañero cumplió el sueño de compartir con 3 grandes de la música mexicana 🇲🇽 @luisangelelflaco @edenmunoz y @mimosoyo Un honor señorazos 🙏

@pabloarango_ 
@luisafdapv
@adnren 
@laindustriainc 
@juanmedinaind",28,0,[]
