Artista,Seguidores,Likes totales,Fecha y Hora,Duración,Visualizaciones,Likes,Comentarios,Compartido,Caption,Palabras en Caption,Hashtags,Número de hashtags
Grupo Dominio,31400,154600,2024-08-17 14:45:41,49,11200,553,8,13,Algo de lo que vivimos en VÉLEZ 📸❤️‍🔥 . . #viral #tendencia #velez #santander #show #dominio #norteño ,17,"['#viral', '#tendencia', '#velez', '#santander', '#show', '#dominio', '#norteño']",7
Grupo Dominio,31400,154600,2024-08-02 16:37:18,47,26700,1097,4,14,"Voy por la calle, cantando mis canciones… 🍺❤️‍🔥 .  Al estilo de Tu Grupo Dominio  #tenampa #norteño #viral #show #dominio #piedecuesta #santander ",22,"['#tenampa', '#norteño', '#viral', '#show', '#dominio', '#piedecuesta', '#santander']",7
Grupo Dominio,31400,154600,2024-07-01 11:17:54,56,20000,750,10,12,Toda la solteria de Puente Nacional ❤️‍🔥🤠 ¡GRACIAS! . . #soltero #dominio #norteña #puentenacional #tendencia #show ,16,"['#soltero', '#dominio', '#norteña', '#puentenacional', '#tendencia', '#show']",6
Grupo Dominio,31400,154600,2024-06-20 17:15:49,54,10400,536,4,10,Bucaramanga 🫶🏻🔥 ¡GRACIAS! . . #tendencia #cumbia #dominio #bucaramanga #show #viral ,11,"['#tendencia', '#cumbia', '#dominio', '#bucaramanga', '#show', '#viral']",6
Grupo Dominio,31400,154600,2024-05-28 14:10:23,48,13200,460,3,7,Puro Saboooor ❤️‍🔥🤠 TU GRUPO DOMINIO  . #show #socorro #santander #dominio #concierto #viral #tendencia ,14,"['#show', '#socorro', '#santander', '#dominio', '#concierto', '#viral', '#tendencia']",7
Grupo Dominio,31400,154600,2024-05-22 20:02:46,57,17700,659,15,12,Y tu que harías si tuvieras mucho Dinero 💸 ? Escuchar al grupo Dominio y…?  . #dominio #reel #humor #dinero #corridos #tendencia #viral #norteño #viral #urielhenao ,26,"['#dominio', '#reel', '#humor', '#dinero', '#corridos', '#tendencia', '#viral', '#norteño', '#viral', '#urielhenao']",10
Grupo Dominio,31400,154600,2024-05-17 10:57:33,50,56200,1362,24,150,Nos dijo que la tocáramos…⚽️ y le tocamos la canción más dolorosa de nuestro repertorio 🤠❤️‍🔥 SENTIMIENTOS DE CARTÓN.  #humor #dominio #futbol #musica #norteño #entretenimiento #viral #reels ,27,"['#humor', '#dominio', '#futbol', '#musica', '#norteño', '#entretenimiento', '#viral', '#reels']",8
Grupo Dominio,31400,154600,2024-05-12 17:54:32,59,58000,1224,19,154,Es Domingo y el cuerpo lo sabe… 🍺🥵  ¿Cuantos asi?  . .  #viral #tiktok #reel #pola #domingo #colombia #dominio #norteña #humor ,21,"['#viral', '#tiktok', '#reel', '#pola', '#domingo', '#colombia', '#dominio', '#norteña', '#humor']",9
Grupo Dominio,31400,154600,2024-05-11 09:06:18,27,14100,626,10,11,Dile al Corazón 🥃❤️‍🩹 . .  ¿Que tal este temazo? Tu Grupo Dominio  #dilealcorazon #norteñas #mexico #viral #video #reel #dominio #colombia ,21,"['#dilealcorazon', '#norteñas', '#mexico', '#viral', '#video', '#reel', '#dominio', '#colombia']",8
Grupo Dominio,31400,154600,2024-05-09 18:30:46,47,113200,3679,34,474,Se activó la alarma de mi carro y ME DIO SED 🍺🥵🍻 . . Tu Grupo Dominio  #viral #reels #tendencia #dominio #corridos #norteña #lamesadelrincon #guaro #cerveza ,26,"['#viral', '#reels', '#tendencia', '#dominio', '#corridos', '#norteña', '#lamesadelrincon', '#guaro', '#cerveza']",9
Grupo Dominio,31400,154600,2024-05-07 13:18:14,56,29200,968,9,29,Un show con Tu Grupo Dominio 🥃🔥 . . #estesdondeestes #viral #dominio #santander #show ,14,"['#estesdondeestes', '#viral', '#dominio', '#santander', '#show']",5
Grupo Dominio,31400,154600,2024-04-29 11:58:46,48,14600,572,5,9,Tu Recuerdo… 😮‍💨🥰 Tu Grupo Dominio  #viral #noseva #show #envivo #colombia #norteña ,12,"['#viral', '#noseva', '#show', '#envivo', '#colombia', '#norteña']",6
Grupo Dominio,31400,154600,2024-04-24 15:19:41,48,8868,343,7,15,A Tu salud ¿A quien se la dedicarian? 🔥🍻 #norteña #dominio #viral #tiktok #musica #regional ,15,"['#norteña', '#dominio', '#viral', '#tiktok', '#musica', '#regional']",6
Grupo Dominio,31400,154600,2024-04-23 14:47:51,43,5129,212,6,12,Cuando quieras quererme… 🍻🤠 Tu Grupo Dominio #viral #show #paquesetequite #dominio #norteña ,12,"['#viral', '#show', '#paquesetequite', '#dominio', '#norteña']",5
Grupo Dominio,31400,154600,2024-04-04 22:08:21,106,30400,992,27,34,Clasicos de tu grupo Dominio 🍻🤠 “Perdón” Parte 1  #grupodominio #norteña #perdon #viral #show ,14,"['#grupodominio', '#norteña', '#perdon', '#viral', '#show']",5
Grupo Dominio,31400,154600,2024-02-22 16:07:59,27,12800,493,11,15,A quien le hace falta un besito? 💋🔥 Tu Grupo Dominio  #viral #show #grupodominio ,14,"['#viral', '#show', '#grupodominio']",3
Los 5 del Norte,19500,21100,2024-06-06 18:14:35,87,365100,9920,56,541,✨Gracias Nocaima por vibrar con nuestra música al estilo de los 5 del Norte ¡Muy pronto volveremos! 🎶💯🔥🤠 #Los5DelNorte #musicanorteña,20,"['#Los5DelNorte', '#musicanorteña']",2
Los 5 del Norte,19500,21100,2024-05-16 22:44:56,64,25700,149,5,9,"📣 ¡Prepárate para vibrar con lo mejor de la música norteña! 🪗 este próximo  25 de mayo estaremos en el municipio del Socorro, Santander  junto al Grupo Dominio 🤠 en un mano a mano musical que no se  pueden perder.🥳 #los5delnorte #musicanorteña #manoamano #socorrosantander #ferias2024 #artistas #GrupoDominio",47,"['#los5delnorte', '#musicanorten', '#manoamano', '#socorrosantander', '#ferias2024', '#artistas', '#GrupoDominio']",7
Los 5 del Norte,19500,21100,2024-05-18 11:29:03,18,27900,324,8,15,🎬 Familia  queremos compartirles  algunos momentos de nuestra sesión de fotos 📸#Los5delNorte #sesiondefotos #lanzamiento #musicanorteña #artistas,16,"['#Los5delNorte', '#sesiondefotos', '#lanzamiento', '#musicanorteña', '#artistas']",5
